ID,level,input_noise,N_fixations,N_distant_fixations,trial,time_played,N_attempt,done,SoC,level_difficulty,crashed,N_prior_crashs,trials_since_last_crash,crashed_in_last_trial,consecutive_crash_success,N_consecutive_crash_success
AU25IL,6,2.0,90.0,39.0,00,38.45453500747681,1,False,5,hard,1,0,0,0,0,0
AU25IL,4,2.0,14.0,13.0,01,6.918455362319946,1,False,3,hard,1,1,1,1,0,0
AU25IL,5,0.5,109.0,42.0,02,43.67163133621216,1,True,6,hard,0,2,1,1,1,1
AU25IL,3,2.0,27.0,14.0,03,12.261967182159424,1,False,4,medium,1,2,0,0,0,1
AU25IL,2,0.5,83.0,34.0,04,44.76346564292908,1,True,7,medium,0,3,1,1,1,2
AU25IL,4,1.5,21.0,14.0,05,8.500086784362793,1,False,6,hard,1,3,0,0,0,2
AU25IL,5,1.0,81.0,53.0,06,44.22431492805481,1,True,7,hard,0,4,1,1,1,3
AU25IL,3,2.0,49.0,19.0,07,13.079083919525146,2,False,4,medium,1,4,0,0,0,3
AU25IL,2,1.5,82.0,40.0,08,43.9645836353302,1,True,6,medium,0,5,1,1,1,4
AU25IL,6,2.0,81.0,32.0,09,44.5563235282898,2,True,6,hard,0,5,2,0,0,4
AU25IL,4,0.5,17.0,9.0,10,8.928483009338379,1,False,6,hard,1,5,0,0,0,4
AU25IL,4,2.0,19.0,8.0,11,9.012933492660522,2,False,5,hard,1,6,1,1,0,4
AU25IL,2,2.0,53.0,25.0,12,22.785937309265137,1,False,5,medium,1,7,2,1,0,4
AU25IL,2,0.0,73.0,41.0,13,43.49207305908203,1,True,7,medium,0,8,1,1,1,5
AU25IL,2,2.0,33.0,17.0,14,16.178446769714355,2,False,4,medium,1,8,0,0,0,5
AU25IL,1,0.0,41.0,11.0,15,43.38469696044922,1,True,7,medium,0,9,1,1,1,6
AU25IL,3,1.5,42.0,19.0,16,24.75595331192017,1,False,6,medium,1,9,0,0,0,6
AU25IL,4,2.0,28.0,22.0,17,9.20539140701294,3,False,5,hard,1,10,1,1,0,6
AU25IL,2,1.0,69.0,30.0,18,43.89126658439636,1,True,7,medium,0,11,1,1,1,7
AU25IL,2,2.0,68.0,21.0,19,43.064282178878784,3,True,5,medium,0,11,2,0,0,7
AU25IL,3,1.0,67.0,29.0,20,44.63458013534546,1,True,6,medium,0,11,3,0,0,7
AU25IL,6,0.5,128.0,37.0,21,44.46709847450256,1,True,6,hard,0,11,4,0,0,7
AU25IL,3,1.5,72.0,32.0,22,42.649574995040894,2,True,7,medium,0,11,5,0,0,7
AU25IL,4,1.0,87.0,40.0,23,44.58122396469116,1,True,7,hard,0,11,6,0,0,7
AU25IL,3,0.5,67.0,26.0,24,42.7899022102356,1,True,7,medium,0,11,7,0,0,7
AU25IL,4,0.0,76.0,30.0,25,42.95069622993469,1,True,7,hard,0,11,8,0,0,7
AU25IL,6,1.0,80.0,42.0,26,44.08689212799072,1,True,6,hard,0,11,9,0,0,7
AU25IL,1,2.0,14.0,8.0,27,9.93280267715454,1,False,5,medium,1,11,0,0,0,7
AU25IL,5,1.5,54.0,29.0,28,26.46222424507141,1,False,6,hard,1,12,1,1,0,7
AU25IL,3,0.0,111.0,34.0,29,43.69197940826416,1,True,7,medium,0,13,1,1,1,8
AU25IL,4,1.5,39.0,22.0,30,19.8922336101532,2,False,5,hard,1,13,0,0,0,8
AU25IL,1,0.5,78.0,27.0,31,43.232771158218384,1,True,7,medium,0,14,1,1,1,9
AU25IL,4,0.5,19.0,11.0,32,9.128386735916138,2,False,6,hard,1,14,0,0,0,9
AU25IL,3,2.0,152.0,46.0,33,43.81854891777039,3,True,4,medium,0,15,1,1,1,10
AU25IL,1,1.5,92.0,34.0,34,44.19393253326416,1,True,6,medium,0,15,2,0,0,10
AU25IL,4,0.5,91.0,37.0,35,44.9012017250061,3,True,6,hard,0,15,3,0,0,10
AU25IL,5,0.0,65.0,33.0,36,27.54888200759888,1,False,6,hard,1,15,0,0,0,10
AU25IL,5,2.0,46.0,22.0,37,27.533793449401852,1,False,5,hard,1,16,1,1,0,10
AU25IL,1,2.0,70.0,21.0,38,44.16632294654846,2,True,5,medium,0,17,1,1,1,11
AU25IL,6,0.0,90.0,40.0,39,43.42553329467773,1,True,6,hard,0,17,2,0,0,11
