frame,trial,attempt,time_played,time_tag,level_size_y,player_pos,collision,current_input,current_drift,drift_variation,drift_type,level_done,visible_obstacles,last_walls_tile,adjacent_wall_tiles_x_pos,visible_drift_tiles,expectability,SoC,adjusted_time_tag,start_input,N_input,input_change,input_duration,drift_tile_onset,second_drift_tile_onset,drift_onset,N_drift,individual_drift_tile_variation,individual_drift_tile_direction,input_before_drift,input_countering_drift
599,6,2,10.482668161392212,7836.22325084,14094,"[954, 270]",False,Right,0.0,B,fake,False,"[[678, 72], [876, 90], [840, 108], [1128, 378], [876, 504], [732, 612]]","[1176, 11010]",,"[[1278, 372]]",,,7846.705919001392,1.0,3.0,0.0,0.0879249572753924,0,0,0,,A,Right,1,1
1021,6,2,18.001853466033936,7836.22325084,14094,"[954, 270]",False,Right,0.0,B,fake,False,"[[1062, 96], [828, 132], [1260, 132], [1170, 528], [846, 600], [1152, 636], [1134, 726]]","[1452, 8478]",,"[[1554, 360]]",,,7854.225104306034,1.0,8.0,1.0,0.03324556350708008,0,0,0,,A,Right,1,1
1869,6,2,33.04317045211792,7836.22325084,14094,"[954, 270]",False,Left,0.0,B,fake,False,"[[1305, 210], [1125, 264], [963, 516], [909, 588]]","[1329, 3390]",,"[[525, 348]]",,,7869.266421292118,1.0,16.0,1.0,0.4069187641143799,0,0,0,,A,Left,1,1
2113,6,2,37.40571594238281,7836.22325084,14094,"[954, 270]",False,Right,0.0,B,fake,False,"[[882, 186], [1152, 276], [792, 312], [936, 420]]","[1380, 1926]",,[],,,7873.628966782383,1.0,20.0,0.0,0.06843876838684082,0,0,0,,A,Right,1,1
774,1,1,13.531332731246948,7664.900431325001,14094,"[954, 270]",False,Left,0.0,A,fake,False,"[[852, 102], [1086, 408], [1032, 642], [780, 714]]","[1146, 9960]",,"[[342, 474]]",,,7678.431764056248,1.0,7.0,1.0,0.22709059715270996,0,0,0,,B,Left,1,1
854,1,1,14.934212923049929,7664.900431325001,14094,"[954, 270]",False,Left,0.0,A,fake,False,"[[963, 162], [711, 234], [729, 378], [783, 486], [387, 576], [567, 684]]","[1077, 9480]",,[],,,7679.834644248051,1.0,8.0,0.0,0.20214176177978338,0,0,0,,B,Left,1,1
1777,1,1,31.251906633377075,7664.900431325001,14094,"[954, 270]",False,Left,0.0,A,fake,False,"[[699, 402], [1023, 312], [789, 312], [645, 474], [519, 780], [933, 798]]","[1137, 3942]",,"[[1239, 540]]",,,7696.152337958378,1.0,14.0,1.0,0.15724420547485352,0,0,0,,B,Right,1,1
1811,1,1,31.859740257263184,7664.900431325001,14094,"[954, 270]",False,Left,0.0,A,fake,False,"[[759, 198], [1083, 108], [849, 108], [705, 270], [579, 576], [993, 594]]","[1197, 3738]",,"[[1299, 336]]",,,7696.760171582264,1.0,15.0,0.0,0.177443265914917,0,0,0,,B,Right,1,1
448,4,2,7.81223201751709,6898.021342215,14094,"[954, 270]",False,Left,0.0,B,invisible,False,"[[816, 78], [744, 564], [708, 204], [456, 348], [942, 798]]","[1110, 11916]",,"[[306, 342]]",,,6905.833574232517,1.0,5.0,1.0,0.26032590866088867,0,0,0,,A,Left,1,1
1052,4,2,18.46243190765381,6898.021342215,14094,"[954, 270]",False,Left,0.0,B,invisible,False,"[[1065, 90], [1299, 144], [813, 162], [993, 558], [1137, 738], [795, 756]]","[1323, 8292]",,"[[1425, 426]]",,,6916.483774122654,1.0,11.0,0.0,0.30001091957092285,0,0,0,,A,Right,1,1
