ID,level,drift,input_noise,done,SoC
AE07EM1,3,T,N,done,6.0
AE07EM1,2,F,S,done,6.0
AE07EM1,4,T,W,done,6.0
AE07EM1,5,F,W,done,6.0
AE07EM1,6,T,W,crashed,4.0
AE07EM1,1,T,N,done,6.0
AE07EM1,4,T,N,crashed,5.0
AE07EM1,5,T,W,crashed,4.0
AE07EM1,4,F,N,done,7.0
AE07EM1,6,T,N,crashed,3.0
AE07EM1,1,F,W,done,7.0
AE07EM1,2,T,S,done,7.0
AE07EM1,0,T,S,done,5.0
AE07EM1,5,T,S,crashed,4.0
AE07EM1,6,F,S,done,6.0
AE07EM1,6,F,N,done,5.0
AE07EM1,6,T,S,crashed,3.0
AE07EM1,3,T,S,crashed,4.0
AE07EM1,5,T,W,crashed,6.0
AE07EM1,5,T,S,crashed,5.0
AE07EM1,1,T,W,done,6.0
AE07EM1,2,T,N,done,6.0
AE07EM1,6,T,N,crashed,4.0
AE07EM1,5,F,S,done,6.0
AE07EM1,6,T,S,crashed,4.0
AE07EM1,6,T,W,crashed,3.0
AE07EM1,6,T,W,crashed,4.0
AE07EM1,6,T,S,crashed,4.0
AE07EM1,5,F,N,done,6.0
AE07EM1,6,T,N,crashed,5.0
AE07EM1,3,T,W,done,6.0
AE07EM1,5,T,N,crashed,5.0
AE07EM1,5,T,N,crashed,4.0
AE07EM1,3,T,S,done,6.0
AE07EM1,5,T,S,crashed,5.0
AE07EM1,3,T,S,crashed,4.0
AE07EM1,3,F,N,done,7.0
AE07EM1,3,F,S,done,7.0
AE07EM1,1,F,S,done,7.0
AE07EM1,2,T,W,done,6.0
AE07EM1,2,F,N,done,7.0
AE07EM1,4,F,S,done,6.0
AE07EM1,1,F,N,done,7.0
AE07EM1,5,T,W,crashed,5.0
AE07EM1,3,F,S,crashed,6.0
AE07EM1,2,F,W,done,7.0
AE07EM1,0,T,S,crashed,5.0
AE07EM1,6,F,W,done,6.0
AE07EM1,4,T,S,done,6.0
AE07EM1,1,T,S,done,6.0
AE07EM1,4,F,W,done,6.0
AE07EM1,5,T,N,crashed,5.0
AE07EM1,3,F,W,done,7.0
AE07EM1,4,T,N,done,5.0
AM19EA1,5,F,S,done,6.0
AM19EA1,3,F,W,done,7.0
AM19EA1,1,T,W,done,6.0
AM19EA1,3,F,W,crashed,2.0
AM19EA1,2,F,N,done,7.0
AM19EA1,1,F,N,done,7.0
AM19EA1,6,T,W,crashed,3.0
AM19EA1,6,F,W,crashed,5.0
AM19EA1,6,F,N,done,7.0
AM19EA1,4,T,W,done,5.0
AM19EA1,6,F,S,crashed,4.0
AM19EA1,5,T,W,crashed,2.0
AM19EA1,4,F,S,done,6.0
AM19EA1,5,F,W,crashed,5.0
AM19EA1,4,F,W,done,6.0
AM19EA1,2,T,N,done,5.0
AM19EA1,6,T,N,crashed,3.0
AM19EA1,6,T,W,crashed,4.0
AM19EA1,3,T,S,done,4.0
AM19EA1,6,F,S,done,6.0
AM19EA1,6,T,S,crashed,3.0
AM19EA1,0,T,S,done,5.0
AM19EA1,3,T,W,done,6.0
AM19EA1,2,F,W,done,7.0
